time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
6601,0,60,3.963,"(632.2044992854892, 788.1481286371179)",0.0006143010408199461,moving,moving,moving,"(53.181133414482275, 66.3081220421076)","(52.96368291265236, 71.89685257793363)","(56.588738853581674, 69.15096000828689)"
6701,0,60,3.759,"(632.2044992854892, 788.1481286371179)",0.0006143010408201036,moving,moving,moving,"(366.01132997026036, 456.35589876038705)","(344.09727308796346, 478.3956012496027)","(369.04618750494825, 459.4973994467396)"
6801,0,60,4.728,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,charging,deactivated,moving,"(632, 788)","(627.4312574024, 784.1251715428289)","(578.3326951427994, 721.0775752394109)"
6901,0,60,5.606,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,moving,deactivated,moving,"(494.35471351545914, 616.3789782439571)","(627.4312574024, 784.1251715428289)","(265.5003530004051, 331.03151935663914)"
7001,0,60,5.44,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,moving,deactivated,deactivated,"(181.52451695968023, 226.3312015256779)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7101,0,60,5.274,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,self_charging,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7201,0,60,5.108,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,deactivated,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7301,0,60,4.942,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,deactivated,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7401,0,60,4.776,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,deactivated,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7501,0,60,4.61,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,deactivated,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7601,0,60,4.444,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,deactivated,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7701,0,60,4.278,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,deactivated,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7801,0,60,4.112,"(333.1986286495561, 508.1272054861966)",0.0006143010408201036,deactivated,deactivated,deactivated,"(0.0, 0.0)","(627.4312574024, 784.1251715428289)","(2.721185600796075, 3.392832415111315)"
7901,0,60,3.946,"(333.1986286495561, 508.1272054861966)",0.0006143010408202398,moving,moving,moving,"(87.71597460808213, 133.81295826097815)","(510.7242670694134, 674.6743679486308)","(102.82684552965287, 128.2081233461829)"
8001,0,60,6.325,"(235.32757102029197, 567.1690657751842)",0.0006143010408201037,charging,deactivated,moving,"(333, 508)","(289.23891708196237, 562.9394361463832)","(415.65703280733027, 518.2559075057828)"
8101,0,60,9.579,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,moving,deactivated,deactivated,"(217.8727833268926, 332.3704922824662)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8201,0,60,9.519,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,self_charging,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8301,0,60,9.458,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8401,0,60,9.397,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8501,0,60,9.336,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8601,0,60,9.276,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8701,0,60,9.215,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8801,0,60,9.154,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
8901,0,60,9.093,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9001,0,60,9.033,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9101,0,60,8.972,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9201,0,60,8.911,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9301,0,60,8.85,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
