time_stamp,id,starting_point,destination_point,decision_id,charging_time,moving_time
2514,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2515,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2515,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2516,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2516,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2517,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2517,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2518,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2518,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2519,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2519,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2520,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2520,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2521,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2521,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2522,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2522,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2523,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2523,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2524,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2524,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2525,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2525,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
